what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1321283972925
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.4.v201106210700,"org.eclipse.wst.common.emfworkbench.integration",1321283972925
started,bundle,org.eclipse.wst.common.frameworks,1.2.1.v201107271600,"org.eclipse.wst.common.frameworks",1321283972925
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1321283972925
os,sysinfo,,,"win32",1321283972925
arch,sysinfo,,,"x86",1321283972925
ws,sysinfo,,,"win32",1321283972925
locale,sysinfo,,,"en_US",1321283972925
processors,sysinfo,,,"8",1321283972925
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1321283972925
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1321283972925
java.specification.name,sysinfo,,,"Java Platform API Specification",1321283972925
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1321283972925
java.specification.version,sysinfo,,,"1.6",1321283972925
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1321283972925
java.version,sysinfo,,,"1.6.0_29",1321283972925
java.vm.info,sysinfo,,,"mixed mode",1321283972925
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1321283972925
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1321283972925
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1321283972925
java.vm.specification.version,sysinfo,,,"1.0",1321283972925
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1321283972925
java.vm.version,sysinfo,,,"20.4-b02",1321283972925
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1321283972975
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1321283972975
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1321283973015
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1321283973395
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1321283973425
started,bundle,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms",1321283973835
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1321283973995
started,bundle,org.eclipse.wst.sse.core,1.1.506.v201110201853,"org.eclipse.wst.sse.core",1321283974055
started,bundle,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.adt",1321283974365
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1321283974565
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1321283974855
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1321283974895
started,bundle,com.android.ide.eclipse.traceview,15.0.0.v201110251216-213216,"com.android.ide.eclipse.traceview",1321283978635
